coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_fielding,handle_veterans,handle_rookies,handle_players,strategy_knowledge,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,opener,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,busy,type,data,days_left
11,"Art","Howe","",72,"1946-12-15",72460,206,205,185,1,25,2,0,0,0,0,0,0,0,0,0,0,0,2,102,40,141,136,150,139,0,0,0,0,0,0,1,2,3,3,0,94,0,0,0,0,1,2,-1,-2,-1,-1,0,0,0,0,0,-1,0,1,1,-1,0,0,-1,0,0,1,0,0,0,0,2,-5,-7,0,4,0,0,0,0,14,3,3,0,0,0,0,0,119,65,111,0,0,0,0,0,0
12,"Doyle","Miller","",47,"1971-5-30",32890,206,215,186,5,3,5,0,0,0,0,0,0,0,15,13,11,22,3,94,12,80,92,104,98,0,0,0,0,0,0,0,0,3,3,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,1,-4,0,0,0,0,12,4,2,2,0,0,0,0,63,34,95,16,0,0,0,0,0
13,"John","Hall","",60,"1959-2-6",86551,206,220,182,4,18,4,0,0,0,0,0,0,0,33,12,48,14,2,22,107,39,90,87,88,0,0,0,0,0,0,0,0,3,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-2,-1,-3,0,0,0,0,12,4,2,2,0,0,0,0,92,102,39,24,0,0,0,0,0
14,"Jose","Cruz","Cheo",71,"1947-8-8",4194,151,175,183,1,11,2,0,0,0,0,0,0,0,17,0,0,0,3,111,10,151,114,119,121,0,0,0,0,0,0,3,2,3,3,0,90,0,0,0,0,1,-2,1,1,1,2,2,0,-1,0,5,5,0,2,0,2,0,0,0,0,0,-1,0,0,0,0,-1,7,-1,2,-5,0,0,0,0,13,4,2,1,0,0,0,0,94,38,114,6,0,0,0,0,0
15,"Andrew","Tinnish","",43,"1976-4-5",63789,36,170,186,3,8,1,0,0,5,0,0,0,0,114,120,170,130,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,-3,3,0,0,0,0,13,4,3,0,0,0,0,0,30,0,0,127,0,0,0,0,0
16,"Dwayne","Murphy","",64,"1955-3-18",49691,206,185,185,5,11,5,0,12215,0,0,0,0,0,0,0,0,0,3,122,11,111,50,25,37,0,0,0,0,0,0,0,0,0,3,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,3,-5,-7,0,0,0,0,16,3,1,0,0,0,0,0,89,18,101,0,0,0,0,0,0
17,"Bruce","Walton","Papi",56,"1962-12-25",6327,206,195,188,4,13,4,199,16805,0,84000,1,0,0,0,0,0,0,2,1,121,35,39,27,33,0,0,0,0,0,0,0,0,3,2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,-4,4,0,0,0,0,13,6,1,0,0,0,0,0,73,99,9,0,0,0,0,0,0
18,"Nick","Leyva","",65,"1953-8-16",57383,206,164,177,1,31,2,0,0,0,0,0,0,0,0,0,0,0,0,77,31,101,120,122,125,0,0,0,0,0,0,1,0,3,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6,-1,1,-5,0,0,0,0,12,3,3,2,0,0,0,0,104,55,89,0,0,0,0,0,0
19,"Mark","McGwire","",55,"1963-10-1",60093,206,225,196,5,10,5,0,11353,0,0,0,0,0,0,0,0,0,3,160,5,25,121,122,113,0,0,0,0,0,0,1,2,1,3,0,70,0,0,0,0,1,2,2,-5,5,-2,3,0,5,0,-5,-4,0,-5,-2,-2,0,0,2,0,0,2,0,0,0,0,5,-2,-2,-1,1,0,0,0,0,11,5,3,1,0,0,0,0,90,32,148,0,0,0,0,0,0
20,"Sam","Perlozzo","",68,"1951-3-4",16001,206,170,177,1,25,2,0,0,0,0,0,0,0,0,0,0,0,4,100,15,102,139,133,133,0,0,0,0,0,0,1,0,3,3,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,-1,-8,0,0,0,0,14,4,1,1,0,0,0,0,106,45,108,0,0,0,0,0,0
21,"Jaron","Madison","",43,"1975-11-1",18155,20,189,185,7,6,6,0,0,6,0,0,0,0,130,143,144,148,0,7,22,29,8,40,24,0,0,0,0,0,0,0,0,3,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,4,-1,4,0,0,0,0,13,5,2,0,0,0,0,0,73,23,11,140,0,0,0,0,0
22,"Barry","de Bree","",57,"1962-3-3",4134,85,235,196,7,16,6,0,0,5,0,0,0,0,82,85,95,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,2,1,0,0,0,0,0,15,3,2,0,0,0,0,0,44,0,0,79,0,0,0,0,0
23,"Ed","Creech","",66,"1952-12-29",55211,206,200,185,7,31,6,0,0,2,0,0,0,0,141,134,133,141,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,4,-3,-3,0,0,0,0,13,3,2,2,0,0,0,0,70,0,0,139,0,0,0,0,0
24,"Mark","Parent","",57,"1961-9-16",4434,206,225,196,1,15,2,0,12913,0,0,0,0,0,0,0,0,0,3,111,25,74,125,119,122,0,0,0,0,0,0,1,2,3,3,0,70,0,0,0,0,3,3,2,-4,1,0,3,0,2,0,-1,-1,0,-1,-1,-1,0,0,2,0,0,3,0,0,0,0,2,-3,0,9,4,0,0,0,0,12,4,3,1,0,0,0,0,94,49,114,0,0,0,0,0,0
25,"Lance","Carter","",44,"1974-12-18",11283,206,190,185,4,8,4,225,4335,0,58000,1,0,0,0,0,0,0,2,11,105,33,13,28,21,0,0,0,0,0,0,0,0,3,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-7,0,-2,1,0,0,0,0,13,4,3,0,0,0,0,0,69,84,14,0,0,0,0,0,0
26,"Ted","Kubiak","",76,"1942-5-12",55066,206,175,183,1,20,2,0,9878,0,0,0,0,0,38,0,0,0,1,85,55,28,109,108,111,0,0,0,0,0,0,2,3,3,3,0,56,0,0,0,0,-1,2,3,1,4,2,-1,0,2,0,-3,-1,0,-3,0,-4,0,0,1,0,0,3,0,0,0,0,-8,-2,3,1,-3,0,0,0,0,14,3,3,0,0,0,0,0,85,69,92,13,0,0,0,0,0
27,"Mickey","Callaway","",43,"1975-5-13",49583,206,190,188,1,9,2,49,4159,0,700000,5,0,0,0,0,0,0,4,4,141,89,114,118,116,0,0,0,0,0,0,5,0,3,3,0,74,0,0,0,0,3,3,4,3,3,-1,-2,-1,3,0,0,-1,0,-1,1,1,1,2,3,3,3,3,3,-1,0,0,1,-3,-8,-4,1,7,4,1,0,13,3,2,2,3,9,4,-3,97,135,32,0,0,0,0,0,0
28,"Andrew","Shirley","",50,"1969-2-28",58713,206,220,196,1,11,2,0,0,0,0,0,0,0,2,5,0,0,2,101,71,107,111,106,108,0,0,0,0,0,0,3,4,3,3,0,26,0,0,0,0,4,-1,1,3,2,0,-1,0,1,0,5,3,0,1,-1,1,0,0,2,0,0,0,0,0,0,0,5,2,3,3,-3,0,0,0,0,13,4,3,0,0,0,0,0,85,80,103,2,0,0,0,0,0
29,"Anthony","Dunlap","",46,"1972-8-5",0,206,200,178,5,6,5,0,0,0,0,0,0,0,5,8,11,0,3,82,6,33,78,79,78,0,0,0,0,0,0,0,0,3,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,5,-3,-5,0,0,0,0,12,6,2,0,0,0,0,0,50,24,81,5,0,0,0,0,0
30,"Arda","van Barneveld","",56,"1962-6-17",85058,85,200,194,7,20,6,0,0,4,0,0,0,0,42,92,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,1,1,0,0,0,0,12,4,3,1,0,0,0,0,41,0,0,55,0,0,0,0,0
31,"Peter","Angelos","",89,"1929-7-4",59354,206,190,185,9,20,13,33,0,0,244000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,1,5,-1,0,0,0,0,14,5,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0
32,"Ryan","Kibler","",38,"1980-9-17",51650,36,185,190,4,13,4,291,0,0,56000,1,0,0,0,0,0,0,2,18,105,29,122,87,105,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,5,-5,-3,0,0,0,0,13,5,1,1,0,0,0,0,76,105,40,0,0,0,0,0,0
33,"Luca","Bembo","",59,"1959-10-15",11748,95,205,186,7,23,6,0,0,4,0,0,0,0,93,46,72,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,5,2,4,2,0,0,0,0,13,3,2,2,0,0,0,0,40,0,0,60,0,0,0,0,0
34,"Esteban","Vera","",62,"1956-5-23",49935,124,200,197,7,26,6,0,0,4,0,0,0,0,73,78,94,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,5,2,0,0,0,0,14,3,3,0,0,0,0,0,43,0,0,71,0,0,0,0,0
35,"John","Henry","",69,"1949-9-13",64079,206,195,185,9,17,13,34,0,0,280000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-3,-10,-3,0,0,0,0,13,4,2,1,0,0,0,0,51,0,0,0,0,0,0,0,0
36,"Aidan","Nelis","",66,"1953-1-12",89100,85,195,185,7,23,6,0,0,0,0,0,0,0,55,56,45,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-4,-1,4,0,0,0,0,13,4,2,1,0,0,0,0,50,0,0,49,0,0,0,0,0
37,"Mauro","Barrachina","",51,"1967-10-3",2984,95,220,186,7,15,6,0,0,5,0,0,0,0,85,96,46,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,-4,-1,2,0,0,0,0,12,4,3,1,0,0,0,0,42,0,0,77,0,0,0,0,0
38,"Hal","Steinbrenner","",49,"1969-12-3",55211,206,195,184,9,13,13,48,0,0,262000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,-3,6,4,0,0,0,0,14,3,2,1,0,0,0,0,47,0,0,0,0,0,0,0,0
39,"Stuart","Sternberg","",59,"1959-5-16",12985,206,210,186,9,23,13,57,0,0,266000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-2,-6,0,0,0,0,12,3,3,2,0,0,0,0,54,0,0,0,0,0,0,0,0
40,"Enea","Castellanata","",60,"1958-8-13",62991,95,200,183,7,18,6,0,0,4,0,0,0,0,75,33,78,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4,-5,4,0,0,0,0,14,4,1,1,0,0,0,0,40,0,0,63,0,0,0,0,0
41,"Alan","Horn","",78,"1941-2-15",28482,206,215,185,9,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0
42,"Jerry","Reinsdorf","",83,"1936-2-25",12985,206,170,179,9,14,13,35,0,0,256000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0
43,"Larry","Dolan","",88,"1931-2-8",14074,206,210,182,9,25,13,38,0,0,330000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,3,-7,6,0,0,0,0,11,3,3,3,0,0,0,0,55,0,0,0,0,0,0,0,0
44,"Christopher","llitch","",53,"1965-6-2",20315,206,180,184,9,0,13,40,0,0,110000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2,2,0,0,0,0,10,0,0,0,0,0,0,0,0
45,"David","Glass","",83,"1935-9-29",57571,206,205,186,9,31,13,43,0,0,364000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,2,2,0,0,0,0,50,0,0,0,0,0,0,0,0
46,"Jim","Pohlad","",64,"1955-3-4",50536,206,195,194,9,33,13,47,0,0,328000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,1,0,0,0,0,50,0,0,0,0,0,0,0,0
47,"Arturo","Moreno","Arte",72,"1946-8-5",81480,206,225,190,9,25,13,44,0,0,348000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,2,0,0,0,0,50,0,0,0,0,0,0,0,0
48,"John","Fisher","",57,"1961-6-1",69999,206,185,185,9,11,13,50,0,0,168000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,3,0,0,0,0,0,30,0,0,0,0,0,0,0,0
49,"Howard","Lincoln","",79,"1940-2-14",56459,206,195,179,9,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0
50,"Ray C.","Davis","",79,"1940-1-31",4992,206,164,180,9,9,13,58,0,0,150000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0
51,"John","Malone","",78,"1941-3-7",50325,206,180,182,9,14,13,32,0,0,196000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,7,-4,1,1,0,0,0,0,12,4,2,2,0,0,0,0,43,0,0,0,0,0,0,0,0
52,"Jeffrey","Loria","",78,"1940-11-20",0,206,189,180,9,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2,2,0,0,0,0,50,0,0,0,0,0,0,0,0
53,"Fred","Wilpon","",82,"1936-11-22",12985,206,205,174,9,12,13,49,0,0,260000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0
54,"John","Middleton","",64,"1955-1-1",58713,206,211,184,9,3,13,51,0,0,92000,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0
55,"Ted","Lerner","",93,"1925-10-15",87845,206,175,184,9,25,13,60,0,0,334000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0
56,"Tom","Ricketts","",55,"1963-5-23",57291,206,175,180,9,9,13,36,0,0,144000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0
57,"Regis","Catenacci","",67,"1952-1-30",83443,95,220,193,7,31,6,0,0,0,0,0,0,0,72,29,68,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,1,-1,3,-5,0,0,0,0,13,3,2,2,0,0,0,0,30,0,0,49,0,0,0,0,0
58,"Robert","Castellini","",65,"1953-8-24",13776,206,165,184,9,16,13,37,0,0,292000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,3,2,0,0,0,0,50,0,0,0,0,0,0,0,0
59,"Drayton","McLane Jr.","",82,"1936-7-22",38942,98,225,184,9,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0
