park_id,dimensions_x,dimensions_y,batter_left_x,batter_left_y,batter_right_x,batter_right_y,bases_x0,bases_x1,bases_x2,bases_y0,bases_y1,bases_y2,positions_x0,positions_x1,positions_x2,positions_x3,positions_x4,positions_x5,positions_x6,positions_x7,positions_x8,positions_x9,positions_y0,positions_y1,positions_y2,positions_y3,positions_y4,positions_y5,positions_y6,positions_y7,positions_y8,positions_y9,avg,avg_l,avg_r,d,t,hr,hr_r,hr_l,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,rain0,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,wind,wind_direction,distances0,distances1,distances2,distances3,distances4,distances5,distances6,wall_heights0,wall_heights1,wall_heights2,wall_heights3,wall_heights4,wall_heights5,wall_heights6,name,picture,picture_night,nation_id,capacity,type,foul_ground,turf,gender,relative_path_3d_model,file_name_3d_model,home_team_dugout_is_at_first_base
11,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0445,1.0250,1.0550,1.1040,1.1200,0.9420,0.9350,0.9550,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,5,336,368,412,436,409,369,336,9,9,9,14,9,9,9,"Rawling Foundation Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
12,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9585,0.9650,0.9550,1.2140,1.3600,0.9380,0.9450,0.9250,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,8,342,372,418,433,419,372,333,10,10,10,10,10,10,10,"Sunbeams Stadium","default_grass.jpg","default_grass.jpg",0,7000,0,0,1,0,"","",1
13,0,0,338,365,138,365,443,226,86,310,245,303,0,266,251,420,339,47,150,53,249,436,0,317,420,270,209,261,208,155,138,166,1.1230,1.1230,1.1230,1.0000,1.0000,1.1230,1.1230,1.1230,56,60,65,71,81,90,95,93,87,75,63,56,2,2,2,1,0,0,0,2,1,1,1,2,6,8,328,352,376,407,375,354,335,8,8,8,25,8,8,8,"Chase Field","chase_field_d.webp","chase_field_n.webp",0,48633,2,0,0,0,"./chase_field/","chase_field.pod",0
14,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9940,0.9940,0.9940,1.0000,1.0000,0.9940,0.9940,0.9940,32,36,44,53,63,72,77,75,67,55,46,37,3,3,4,4,3,3,3,3,3,3,3,3,9,6,333,349,364,400,373,346,318,7,7,7,7,7,25,25,"Oriole Park at Camden Yards","oriole_park_at_camden_yards_d.webp","oriole_park_at_camden_yards_n.webp",0,45971,0,0,0,0,"./oriole_park_at_camden_yards/","oriole_park_at_camden_yards.pod",1
15,0,0,337,355,140,355,443,231,86,311,246,303,0,266,266,420,336,47,150,67,264,444,0,317,411,274,218,262,209,157,144,169,1.0335,1.0400,1.0300,1.1400,1.0500,0.9875,1.0400,0.8900,29,32,39,48,59,68,74,72,65,54,45,35,4,3,4,4,4,3,3,3,3,3,4,3,12,6,310,348,379,389,420,380,302,37,37,37,17,17,17,4,"Fenway Park","fenway_park_d.webp","fenway_park_n.webp",0,37400,0,0,0,0,"./fenway_park/","fenway_park.pod",1
16,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9790,0.9790,0.9790,1.0000,1.0000,0.9790,0.9790,0.9790,22,27,37,48,59,68,73,72,64,52,39,27,3,3,4,4,3,3,3,3,3,3,4,3,10,7,330,352,372,400,372,352,335,8,8,8,8,8,8,8,"Guaranteed Rate Field","guaranteed_rate_field_d.webp","guaranteed_rate_field_n.webp",0,40615,0,0,0,0,"./guaranteed_rate_field/","guaranteed_rate_field.pod",1
17,0,0,337,366,140,367,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,423,278,226,268,217,167,153,191,1.0020,1.0020,1.0020,1.0000,1.0000,1.0020,1.0020,1.0020,22,27,37,48,59,68,73,72,64,52,39,27,3,3,4,4,3,3,3,3,3,3,4,3,10,6,355,357,363,400,381,363,353,16,16,11,11,11,16,16,"Wrigley Field","wrigley_field_d.webp","wrigley_field_n.webp",0,41072,0,0,0,0,"./wrigley_field/","wrigley_field.pod",0
18,0,0,352,354,150,349,443,225,67,309,239,292,0,245,266,420,333,46,151,51,240,434,0,298,411,268,210,256,200,147,114,168,1.0030,1.0030,1.0030,1.0000,1.0000,1.0030,1.0030,1.0030,30,34,44,54,64,72,76,75,67,56,45,35,4,4,4,4,4,4,3,3,3,3,4,4,9,2,328,366,379,404,370,366,325,12,12,12,8,8,8,8,"Great American Ball Park","great_american_ball_park_d.webp","great_american_ball_park_n.webp",0,42319,0,0,0,0,"./great_american_ball_park/","great_american_ball_park.pod",1
19,0,0,337,355,134,354,443,224,75,304,246,294,0,252,252,420,334,44,149,53,255,438,0,303,411,265,205,255,210,143,109,158,1.0520,1.0520,1.0520,1.0000,1.0000,1.0520,1.0520,1.0520,26,28,38,48,59,68,72,70,63,52,42,31,6,5,5,5,4,4,3,3,3,3,5,5,11,8,325,348,370,405,375,350,325,19,19,19,9,9,14,14,"Progressive Field","progressive_field_d.webp","progressive_field_n.webp",0,35041,0,0,0,0,"./progressive_field/","progressive_field.pod",1
20,0,0,322,355,136,355,417,224,68,304,254,303,0,245,250,406,310,47,136,66,264,443,0,312,406,268,219,268,212,154,138,179,1.1030,1.0900,1.1100,1.0800,1.2800,1.1435,1.1400,1.1500,29,33,40,48,57,68,73,72,62,51,38,30,2,3,3,3,3,3,3,3,3,2,3,2,9,5,347,365,390,415,375,360,350,8,8,8,8,8,8,8,"Colorado Field","colorado_field_d.webp","colorado_field_n.webp",0,50445,0,0,0,0,"./colorado_field/","colorado_field.pod",1
21,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0550,1.0550,1.0550,1.0000,1.0000,1.0550,1.0550,1.0550,25,27,37,48,60,69,74,72,64,52,41,30,4,4,4,4,4,3,3,3,3,3,4,4,10,6,345,370,398,420,403,356,330,8,8,9,8,14,8,8,"Comerica Park","comerica_park_d.webp","comerica_park_n.webp",0,41681,0,0,0,0,"./comerica_park/","comerica_park.pod",0
22,0,0,337,355,140,355,436,224,78,305,254,296,0,257,266,415,332,37,150,36,230,424,0,309,411,267,216,255,217,150,136,170,0.9030,0.9030,0.9030,1.0000,1.0000,0.9030,0.9030,0.9030,68,69,72,76,80,82,84,84,82,79,74,70,3,3,3,3,3,5,5,5,7,5,3,3,9,3,344,364,393,407,397,361,335,7,7,14,20,15,7,7,"Marlins Park","marlins_park_d.webp","marlins_park_n.webp",0,37422,2,0,0,0,"./marlins_park/","marlins_park.pod",0
23,0,0,353,375,161,375,443,224,86,315,254,303,0,266,263,420,333,47,150,67,265,440,0,317,426,278,226,268,217,167,134,183,1.0410,1.0410,1.0410,1.0000,1.0000,1.0410,1.0410,1.0410,52,55,62,69,76,81,84,83,79,70,61,54,3,3,3,3,3,3,3,3,3,3,3,3,8,2,315,362,390,409,397,373,326,21,21,25,9,9,7,7,"Minute Maid Park","minute_maid_park_d.webp","minute_maid_park_n.webp",0,42060,2,0,0,0,"./minute_maid_park/","minute_maid_park.pod",1
24,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0290,1.0290,1.0290,1.0000,1.0000,1.0290,1.0290,1.0290,27,33,44,54,64,74,79,77,68,57,43,31,3,3,3,4,4,3,3,3,3,3,3,3,11,1,330,362,385,410,385,362,330,8,8,8,8,8,8,8,"Kauffman Stadium","kauffman_stadium_d.webp","kauffman_stadium_n.webp",0,37903,0,0,0,0,"./kauffman_stadium/","kauffman_stadium.pod",1
25,0,0,323,362,148,362,443,224,86,315,254,303,0,266,242,420,333,47,150,67,237,440,0,317,411,278,226,268,217,167,140,180,0.9930,0.9800,1.0000,0.9600,0.9100,0.9295,0.9400,0.9100,57,58,58,61,63,66,69,71,70,67,62,58,2,3,3,1,0,0,0,0,0,1,1,2,8,6,330,355,387,400,370,350,330,8,8,8,8,8,8,8,"Angel Stadium of Anaheim","angel_stadium_of_anaheim_d.webp","angel_stadium_of_anaheim_n.webp",0,45050,0,0,0,0,"./angel_stadium_of_anaheim/","angel_stadium_of_anaheim.pod",0
26,0,0,346,355,140,355,430,224,75,304,254,300,0,259,266,410,319,43,137,59,264,441,0,306,411,267,215,261,215,146,133,175,0.9340,0.9340,0.9340,1.0000,1.0000,0.9340,0.9340,0.9340,57,58,58,61,63,66,69,71,70,67,62,58,2,3,3,1,0,0,0,0,0,1,1,2,8,2,330,360,385,400,385,360,330,4,4,8,8,8,4,4,"Dodger Stadium","dodger_stadium_d.webp","dodger_stadium_n.webp",0,55000,0,0,0,0,"./dodger_stadium/","dodger_stadium.pod",0
27,0,0,345,358,149,357,443,227,86,306,237,290,0,266,266,421,333,47,148,38,264,450,0,308,411,266,204,250,195,139,121,153,1.0110,1.0110,1.0110,1.0000,1.0000,1.0110,1.0110,1.0110,21,25,35,45,56,66,72,71,63,51,38,26,3,3,4,4,4,4,3,3,3,3,4,3,12,8,344,371,382,400,383,371,345,8,8,8,8,8,6,6,"Miller Park","miller_park_d.webp","miller_park_n.webp",0,41900,2,0,0,0,"./miller_park/","miller_park.pod",1
28,0,0,337,355,140,355,432,224,75,306,251,300,0,263,266,422,333,36,149,69,258,449,0,308,411,264,213,262,214,146,119,156,1.0410,1.0410,1.0410,1.0000,1.0000,1.0410,1.0410,1.0410,13,20,32,47,59,68,73,71,61,49,33,19,3,3,3,3,4,4,4,3,3,3,3,3,11,2,339,358,377,404,378,367,328,8,8,8,8,23,23,23,"Target Field","target_field_d.webp","target_field_n.webp",0,39021,0,0,0,0,"./target_field/","target_field.pod",1
29,0,0,337,355,140,355,432,224,75,306,251,300,0,263,266,422,333,36,149,69,258,449,0,308,411,264,213,262,214,146,119,156,0.9935,1.0000,0.9900,0.9700,0.8400,1.0850,1.0500,1.1500,32,34,41,50,60,69,75,74,67,57,47,37,3,3,4,4,4,3,3,3,3,3,3,3,12,6,318,362,399,408,385,354,314,8,8,8,8,8,8,8,"Yankee Stadium","yankee_stadium_d.webp","yankee_stadium_n.webp",0,52325,0,0,0,0,"./yankee_stadium/","yankee_stadium.pod",1
30,0,0,336,366,140,362,443,224,86,315,254,303,0,266,242,420,333,47,150,57,264,440,0,317,418,278,226,268,217,152,127,177,0.9540,0.9540,0.9540,1.0000,1.0000,0.9540,0.9540,0.9540,32,34,41,50,60,69,75,74,67,57,47,37,3,3,4,4,4,3,3,3,3,3,3,3,12,5,331,347,373,408,384,375,330,8,8,8,11,18,8,8,"Citi Field","citi_field_d.webp","citi_field_n.webp",0,41922,0,0,0,0,"./citi_field/","citi_field.pod",1
31,0,0,337,355,140,355,430,224,86,315,254,303,0,257,253,420,333,47,150,65,264,435,0,317,413,278,226,268,217,135,122,148,0.9965,0.9900,1.0000,1.0000,1.0500,0.9325,0.9500,0.9000,48,51,51,55,57,60,62,62,64,60,53,48,5,4,3,2,1,0,0,0,0,1,3,4,10,3,330,367,388,400,388,367,330,8,8,8,8,8,8,8,"Oakland Coliseum","oakland_coliseum_d.webp","oakland_coliseum_n.webp",0,35067,0,0,0,0,"./oakland_coliseum/","oakland_coliseum.pod",0
32,0,0,343,362,140,363,443,224,86,315,254,303,0,266,249,420,333,47,150,63,259,443,0,317,417,278,226,268,217,157,130,169,0.9740,0.9740,0.9740,1.0000,1.0000,0.9740,0.9740,0.9740,32,35,43,53,64,72,78,76,69,57,47,37,3,3,4,4,3,3,3,3,3,3,3,3,10,1,329,356,385,401,381,357,330,11,11,11,6,13,13,13,"Citizens Bank Park","citizens_bank_park_d.webp","citizens_bank_park_n.webp",0,43651,0,0,0,0,"./citizens_bank_park/","citizens_bank_park.pod",1
33,0,0,356,350,158,348,443,235,84,303,235,296,0,263,258,433,343,48,144,54,252,440,0,306,407,264,205,256,196,142,119,150,0.9860,0.9860,0.9860,1.0000,1.0000,0.9860,0.9860,0.9860,28,31,40,50,60,68,73,71,64,53,42,33,5,5,5,5,4,4,4,3,3,3,4,5,9,1,325,362,395,399,395,350,320,6,6,10,10,10,21,21,"PNC Park","pnc_park_d.webp","pnc_park_n.webp",0,38362,0,0,0,0,"./pnc_park/","pnc_park.pod",0
34,0,0,340,378,141,377,443,224,86,315,254,303,0,266,264,420,333,47,150,73,256,433,0,317,427,278,226,268,217,164,148,175,0.9520,0.9520,0.9520,1.0000,1.0000,0.9520,0.9520,0.9520,58,59,60,63,65,67,71,73,72,68,62,58,3,3,3,2,1,0,0,0,0,1,2,2,7,1,336,357,390,396,396,363,322,4,4,8,7,10,10,10,"Petco Park","petco_park_d.webp","petco_park_n.webp",0,42524,0,0,0,0,"./petco_park/","petco_park.pod",1
35,0,0,329,355,132,355,443,224,78,301,246,292,0,255,258,419,337,49,150,32,243,433,0,305,411,261,209,255,208,147,119,153,0.9770,0.9900,0.9700,0.9700,0.8500,0.9705,0.9600,0.9900,42,44,47,51,57,61,66,66,61,53,46,41,6,6,6,5,3,3,3,2,3,3,7,6,7,4,331,360,378,401,381,362,326,8,8,8,8,8,8,8,"T-Mobile Field","t-mobile_park_d.webp","t-mobile_park_n.webp",0,47116,2,0,0,0,"./t_mobile_park/","t_mobile_park.pod",1
36,0,0,344,370,153,373,443,224,86,315,254,303,0,266,259,420,333,47,150,67,264,440,0,317,428,278,226,268,217,167,153,191,0.9805,1.0000,0.9700,0.9700,1.1500,0.8425,0.8600,0.8100,49,52,54,56,59,61,63,64,64,61,55,50,3,3,3,3,1,0,0,0,0,1,3,3,11,5,339,364,404,399,421,365,309,8,8,8,8,8,8,8,"Oracle Park","oracle_park_d.webp","oracle_park_n.webp",0,41503,0,0,0,0,"./oracle_park/","oracle_park.pod",0
37,0,0,331,377,134,379,429,229,89,329,267,325,0,261,238,411,341,50,156,52,249,440,0,339,429,293,241,283,231,183,185,198,1.0000,1.0000,1.0000,0.9900,0.9500,0.9370,0.9300,0.9500,30,35,46,57,67,76,80,78,70,58,45,34,3,3,4,4,3,3,3,3,3,3,3,3,10,6,336,355,375,400,375,355,335,8,8,8,8,8,8,8,"Busch Stadium","busch_stadium_d.webp","busch_stadium_n.webp",0,46861,0,0,0,0,"./busch_stadium/","busch_stadium.pod",1
38,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9520,0.9520,0.9520,1.0000,1.0000,0.9520,0.9520,0.9520,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,343,370,404,360,346,322,11,11,11,9,11,11,11,"Tropicana Field","tropicana_field_d.webp","tropicana_field_n.webp",0,31042,1,0,1,0,"./tropicana_field/","tropicana_field.pod",1
39,0,0,349,360,140,355,434,224,86,311,254,303,0,266,250,419,338,47,150,55,264,439,0,317,416,272,219,268,210,147,123,172,1.0235,1.0300,1.0200,1.0100,1.1000,1.0470,1.0400,1.0600,44,49,57,65,73,81,85,84,78,67,55,47,3,3,3,3,3,3,3,2,3,2,3,2,11,1,332,354,390,400,377,349,325,8,8,8,8,8,8,8,"Globe Life Park in Arlington","globe_life_park_in_arlington_d.webp","globe_life_park_in_arlington_n.webp",0,49115,0,0,0,0,"./globe_life_park_in_arlington/","globe_life_park_in_arlington.pod",1
40,0,0,347,350,154,350,442,224,87,305,254,296,0,266,265,420,333,47,150,55,252,441,0,309,403,270,219,260,217,158,145,174,1.0300,1.0300,1.0300,1.0000,1.0000,1.0300,1.0300,1.0300,21,22,32,44,55,64,70,68,59,48,38,27,2,2,2,2,2,2,2,3,2,2,2,2,14,1,328,352,390,400,390,352,328,10,10,10,10,10,10,10,"Rogers Centre","rogers_centre_d.webp","rogers_centre_n.webp",0,50598,2,0,1,0,"./rogers_centre/","rogers_centre.pod",0
41,0,0,337,355,140,355,432,224,75,306,251,300,0,263,266,422,333,36,149,69,258,449,0,308,411,264,213,262,214,146,119,156,1.0040,1.0040,1.0040,1.0000,1.0000,1.0040,1.0040,1.0040,35,38,47,56,66,75,79,77,71,59,49,40,3,3,4,3,3,3,3,3,3,3,3,3,9,5,336,355,377,402,370,353,335,8,8,8,12,12,12,12,"Nationals Park","nationals_park_d.webp","nationals_park_n.webp",0,41222,0,0,0,0,"./nationals_park/","nationals_park.pod",1
42,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0005,1.0200,0.9900,1.0180,1.0300,0.9865,0.9900,0.9800,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,8,328,358,398,431,391,357,324,9,9,9,9,9,9,9,"Pittsburgh Pirates Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
43,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9835,0.9900,0.9800,1.0080,1.0400,1.0000,1.0000,1.0000,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,4,332,365,401,424,398,356,328,10,10,10,10,10,10,10,"Ballpark of Severna Park","default_grass.jpg","default_grass.jpg",0,9600,0,0,0,0,"","",1
44,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0200,1.0200,1.0200,0.9780,1.0000,1.0000,1.0000,1.0000,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,2,335,360,375,400,375,355,335,7,7,7,7,7,7,7,"LECOM Park","default_grass.jpg","default_grass.jpg",0,8500,0,0,0,0,"","",1
45,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0250,1.0250,1.0250,0.9320,0.9300,1.0720,1.0650,1.0850,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,8,324,344,380,417,379,339,316,9,9,9,9,9,9,9,"Philadelphia Phillies Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
46,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9790,1.0050,0.9650,1.0140,1.1300,0.9215,0.9250,0.9150,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,2,338,372,419,439,412,374,331,10,10,10,16,10,10,10,"Academia de Abel Garcia","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
47,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9365,0.9950,0.9050,0.9520,0.9400,0.9865,0.9550,1.0450,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,3,330,365,402,423,376,343,318,18,18,14,10,10,10,10,"Tampa Bay Rays Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
48,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9180,0.9050,0.9250,0.9620,0.9000,0.9950,0.9950,0.9950,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,7,323,359,391,420,390,352,316,7,7,7,7,7,7,7,"Ballpark of Hartsdale","default_grass.jpg","default_grass.jpg",0,8700,0,0,0,0,"","",1
49,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9995,0.9800,1.0100,1.1080,1.2800,1.0095,1.0200,0.9900,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,5,327,365,401,428,399,357,321,9,9,9,9,9,9,9,"New York Yankees Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
50,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0095,0.9900,1.0200,0.9580,1.0000,0.9705,0.9600,0.9900,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,7,332,359,403,422,400,356,321,9,9,9,15,9,9,9,"San Diego Padres Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
51,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0635,1.0700,1.0600,0.8260,0.7800,1.1530,1.1600,1.1400,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,1,317,335,362,412,359,334,308,12,12,12,12,12,12,12,"Colorado Rockies Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
52,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9865,0.9800,0.9900,0.9480,0.9600,1.0065,1.0100,1.0000,32,36,44,53,63,72,77,75,67,55,46,37,3,3,4,4,3,3,3,3,3,3,3,3,9,2,329,360,397,427,394,359,326,9,9,9,9,9,9,9,"Lihue Grounds","default_grass.jpg","default_grass.jpg",0,9700,0,0,0,0,"","",1
