player_id,team_id,league_id,position,role,offensive_value,offensive_value_talent,offensive_value_vsl,offensive_value_vsr,pitching_value,pitching_value_talent,pitching_value_vsl,pitching_value_vsr,overall_value,talent_value,career_value,leadoff_value_vsl,leadoff_value_vsr,running_value,stealing_value,season_performance,stats_value_0,stats_value_1,stats_value_2,stats_mod_0,stats_mod_1,stats_mod_2,ratings_value,overall_sp,overall_rp,overall_c,overall_1b,overall_2b,overall_3b,overall_ss,overall_lf,overall_cf,overall_rf,award_bat,award_pit,award_field,oa,pot
44,32,150,1,12,83,79,97,75,716,924,1004,1081,669,910,816,153,149,32,1,-3.1250,0,0,0,0,0,0,716,707,669,1,1,1,1,1,1,1,1,0.0000,-40.5593,400.3762,46,71
45,158,151,1,11,108,229,88,114,893,958,948,883,874,958,916,171,176,83,3,-0.8848,0,0,0,0,0,0,893,874,551,8,8,8,8,8,8,8,8,0.0000,-9.7681,564.1086,39,42
46,185,152,2,0,790,806,837,772,0,0,0,0,811,948,880,258,249,45,1,-0.0684,766,698,566,10,100,100,892,1,1,811,665,665,665,665,665,665,665,14.7861,0.0000,610.0289,24,33
47,40,150,2,0,796,802,846,779,0,0,0,0,909,1004,957,310,301,55,1,1.4536,1375,845,709,17,65,82,942,1,1,909,719,719,719,719,719,719,719,85.9114,0.0000,629.8520,34,40
48,178,152,2,0,609,766,583,615,0,0,0,0,601,918,760,243,249,61,1,-0.8482,0,600,533,0,91,89,693,1,1,601,504,504,504,504,504,504,504,-6.7262,0.0000,557.7719,20,32
51,0,0,1,12,178,462,154,187,311,443,513,470,425,485,455,174,182,99,2,0.0000,0,0,0,0,0,0,311,338,425,78,78,78,78,78,78,78,78,0.0000,0.0000,0.0000,20,24
52,157,151,7,0,732,929,657,754,0,0,0,0,702,936,819,322,344,75,4,-0.7132,856,856,749,11,70,100,706,1,1,648,648,648,648,648,694,648,702,14.7572,0.0000,611.7538,27,37
53,58,150,1,12,2,2,2,2,738,1007,1140,1069,658,915,859,106,108,80,1,-1.1359,0,0,0,0,0,0,738,710,658,1,1,1,1,1,1,1,1,0.0000,6.2304,605.4095,45,78
54,36,150,7,0,981,993,1055,964,0,0,0,0,930,975,1006,475,465,78,6,0.0000,0,818,915,0,100,96,949,1,1,857,857,857,857,857,930,857,916,3.3762,0.0000,400.5556,41,43
55,159,151,3,0,808,799,839,796,0,0,0,0,759,760,763,417,408,82,7,2.4379,1184,738,852,13,91,97,751,1,1,714,759,714,714,714,735,714,714,77.7269,0.0000,617.8231,31,31
60,198,153,7,0,589,745,538,603,413,470,694,540,487,785,636,294,309,109,7,0.0000,0,0,494,0,0,22,482,412,426,487,487,487,487,487,487,487,487,-13.0431,11.0210,392.0891,20,28
62,50,150,5,0,1216,1273,1239,1198,0,0,0,0,1477,1518,1503,386,366,109,3,2.0874,1487,1299,1042,27,100,100,1461,1,1,1132,1132,1132,1477,1132,1132,1132,1132,157.6403,0.0000,715.7175,68,69
63,0,0,1,12,4,101,4,4,0,644,0,0,1,522,443,137,136,90,1,0.0000,0,0,0,0,0,0,4,241,41,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,31
65,215,155,9,0,625,852,590,637,0,0,0,0,561,835,701,300,308,91,5,0.0000,0,609,602,0,100,100,600,1,1,522,522,522,522,522,566,522,561,12.4999,0.0000,560.9158,24,33
68,58,150,7,0,916,987,956,899,0,0,0,0,885,1045,965,553,539,121,13,0.0000,0,844,768,0,100,100,923,1,40,798,798,798,798,798,885,884,856,0.0000,0.0000,400.0000,39,45
73,0,0,1,11,10,272,36,4,0,526,0,0,1,526,351,144,137,96,1,0.0000,0,0,0,0,0,0,9,1,176,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,20
77,37,150,5,0,857,849,900,840,0,0,0,0,860,904,882,425,393,82,6,0.0000,0,888,894,0,33,100,900,1,1,761,761,860,822,761,761,761,761,0.0000,0.0000,400.0000,37,39
78,41,150,5,0,944,935,978,930,0,0,0,0,1025,1017,1021,394,382,93,3,0.4890,1281,1164,866,24,100,100,1015,1,1,883,883,883,1025,883,883,883,951,82.7598,0.0000,616.0159,46,46
79,55,150,1,11,73,73,49,73,819,817,1015,981,850,817,834,159,165,85,2,-1.0249,0,446,0,0,10,0,819,850,585,1,1,1,1,1,1,1,1,0.0000,24.5632,607.5745,38,38
80,798,165,3,0,3,444,3,3,0,437,0,0,1,378,306,126,127,71,5,0.0000,0,0,0,0,0,0,3,1,129,1,1,1,1,1,1,1,1,0.0000,0.0000,400.0000,20,20
83,190,153,9,0,725,881,773,705,0,0,0,0,654,845,755,358,343,99,6,0.0000,0,628,578,0,100,85,691,1,1,605,605,605,605,605,654,605,605,-7.4077,0.0000,604.9155,27,37
85,0,0,1,11,1,291,1,1,0,941,0,0,1,941,559,104,103,47,2,0.0000,0,0,0,0,0,0,1,1,177,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,43
87,189,153,1,12,1,2,1,1,533,577,754,793,475,508,556,95,100,55,2,2.8411,0,0,0,0,0,0,533,535,475,1,1,1,1,1,1,1,1,0.0000,23.7045,668.4007,26,28
88,243,158,1,11,91,336,110,84,326,1170,303,337,362,1170,779,187,179,87,3,0.1534,0,0,0,0,0,0,326,362,388,1,1,1,1,1,1,1,1,0.0000,31.3437,608.0246,20,55
89,38,150,8,0,850,829,789,873,0,0,0,0,928,971,950,612,610,158,35,0.0000,0,867,1019,0,25,100,963,1,1,762,762,762,762,762,762,928,762,-2.5109,0.0000,400.0000,43,44
91,186,152,3,0,880,959,914,863,0,0,0,0,838,926,882,299,290,79,3,1.2462,915,937,801,19,100,100,827,1,1,784,838,784,784,784,784,784,784,49.9915,0.0000,656.3519,36,39
92,331,165,3,11,1,421,1,1,0,566,0,0,1,519,403,89,84,68,2,0.0000,0,0,0,0,0,0,1,240,173,1,1,1,1,1,1,1,1,0.0000,0.0000,400.0000,20,20
93,0,0,1,12,0,224,0,0,0,703,0,0,1,557,399,88,88,54,1,0.0000,0,0,0,0,0,0,0,1,94,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,35
95,192,153,3,0,612,782,638,604,0,0,0,0,545,741,643,230,224,58,1,0.0000,0,597,634,0,50,69,566,1,32,512,545,512,512,512,512,512,512,36.6416,0.0000,615.5013,20,28
96,208,154,1,12,114,281,126,111,687,516,675,687,676,533,605,182,180,65,2,-0.0180,0,0,0,0,0,0,687,676,470,14,14,14,14,14,14,14,14,0.0000,17.7424,400.3761,25,30
99,199,154,2,0,547,767,580,535,0,0,0,0,527,902,715,254,245,81,1,0.0000,0,0,446,0,0,47,614,1,1,527,444,444,444,444,444,444,444,35.1501,0.0000,605.7054,20,28
100,201,154,3,0,489,725,522,479,0,0,0,0,468,838,653,239,231,47,2,0.0000,0,582,534,0,78,94,537,1,1,468,422,400,400,400,400,400,400,1.3122,0.0000,603.8905,20,24
101,43,150,1,11,248,219,216,257,759,779,924,904,766,779,773,172,180,52,1,0.0000,0,0,0,0,0,0,759,766,564,148,148,148,148,148,148,148,148,0.0000,0.0000,400.0000,33,33
102,166,151,1,13,107,136,96,111,872,1003,1285,1276,706,839,927,163,168,76,1,-0.0283,0,0,0,0,0,0,872,850,706,7,7,7,7,7,7,7,7,0.0000,10.7198,400.0000,50,68
105,160,151,3,0,698,869,738,684,0,0,0,0,659,858,759,321,293,84,3,0.0691,0,794,565,0,100,100,684,1,1,603,659,603,603,603,603,603,603,4.0418,0.0000,611.0507,24,32
107,205,154,1,12,40,772,64,33,630,705,858,975,612,664,667,141,134,82,2,-0.6360,0,0,0,0,0,0,630,629,612,1,1,1,1,1,1,1,1,0.0000,20.5892,500.6607,41,44
111,205,154,1,12,50,200,36,57,652,767,945,955,534,652,705,153,158,78,2,-3.7236,0,0,0,0,0,0,652,642,534,1,1,1,1,1,1,1,1,0.0000,14.2437,608.2692,33,41
116,43,150,1,12,69,162,81,67,885,1006,1296,1293,706,850,939,152,149,64,1,-1.1279,0,0,0,0,0,0,885,872,706,1,1,1,1,1,1,1,1,0.0000,1.8897,400.1720,50,65
119,756,157,1,13,18,102,44,12,566,1158,838,786,570,969,864,130,125,57,1,4.2143,0,0,0,0,0,0,566,552,570,1,1,1,1,1,1,1,1,0.0000,85.8215,500.3650,36,80
124,162,152,2,0,789,775,846,749,0,0,0,0,835,917,876,358,334,94,4,0.6979,827,563,862,10,17,53,891,1,1,835,690,690,690,690,690,690,690,12.3246,0.0000,389.4335,27,31
128,187,153,3,0,653,808,700,633,0,0,0,0,637,952,795,432,395,129,8,0.7784,0,664,667,0,77,100,699,1,1,555,575,575,637,560,555,555,555,39.2472,0.0000,611.8749,20,30
130,294,162,3,0,318,740,345,309,299,619,431,429,218,770,589,215,208,92,2,0.0000,0,0,0,0,0,0,299,308,379,218,218,218,218,218,218,218,218,-2.2541,0.0000,400.0000,20,28
131,191,153,4,0,720,833,700,721,0,0,0,0,687,866,777,374,394,93,8,1.9528,865,548,642,17,59,100,741,1,1,611,611,687,670,611,611,611,611,54.2675,0.0000,609.0386,20,27
134,204,154,1,12,83,148,99,76,598,943,883,873,490,752,770,155,151,35,0,3.6888,0,0,0,0,0,0,598,596,490,1,1,1,1,1,1,1,1,0.0000,40.5405,609.7488,28,51
135,208,154,5,0,556,803,623,541,0,0,0,0,548,903,726,318,286,110,12,1.3139,836,628,457,14,100,51,609,1,1,471,471,471,548,471,471,471,471,59.7987,0.0000,629.0271,24,35
137,51,150,7,0,1225,1226,1316,1194,0,0,0,0,1182,1185,1184,399,384,40,3,-0.9943,1042,1291,1216,21,100,100,1143,1,1,1123,1182,1123,1123,1123,1171,1123,1123,15.7758,0.0000,624.9318,56,56
139,162,152,1,11,1,1,1,1,913,759,903,924,905,759,832,89,85,81,1,-2.7251,0,0,0,0,0,0,913,905,551,1,1,1,1,1,1,1,1,0.0000,19.4158,400.3250,41,41
146,234,157,3,0,507,793,493,507,69,727,61,132,407,762,585,233,236,82,1,0.0000,0,0,0,0,0,0,415,97,273,407,407,407,407,407,407,407,407,16.8853,11.1380,500.2433,20,31
150,210,155,1,11,65,227,78,48,439,913,450,439,472,913,693,148,141,45,1,0.6272,0,0,0,0,0,0,439,472,419,1,1,1,1,1,1,1,1,0.0000,3.0189,443.5882,20,37
153,211,155,7,0,555,868,599,540,0,0,0,0,503,917,714,348,331,131,9,1.1333,983,261,502,12,28,35,561,1,1,458,458,458,458,458,503,511,482,70.8637,0.0000,632.1047,20,34
154,197,153,4,0,785,869,730,803,0,0,0,0,726,900,813,363,384,91,7,-0.2963,628,782,574,24,91,100,767,1,1,664,675,726,664,664,683,664,664,36.0224,0.0000,632.8760,20,29
155,194,153,9,0,715,773,753,704,0,0,0,0,662,764,727,366,351,77,5,-0.9882,737,626,762,21,52,100,681,1,1,614,655,614,614,614,647,614,662,57.4368,0.0000,671.1294,30,33
159,234,157,1,12,1,292,1,1,489,566,731,705,445,489,535,107,110,78,2,3.5456,0,0,0,0,0,0,489,503,445,1,1,1,1,1,1,1,1,0.0000,34.8461,400.4396,22,26
162,0,0,1,12,2,173,3,2,0,722,0,7,1,639,492,135,131,68,1,-1.4511,0,0,0,0,0,0,2,1,262,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,43
163,47,150,1,12,2,2,2,2,772,878,1136,1137,703,828,813,127,121,74,1,1.2512,0,0,0,0,0,0,772,747,703,1,1,1,1,1,1,1,1,0.0000,12.1690,606.1447,49,63
165,190,153,5,0,762,928,802,745,0,0,0,0,709,894,863,381,351,95,5,-0.9333,645,916,620,15,100,81,703,1,1,669,709,669,698,669,669,669,669,1.7567,0.0000,400.0000,32,37
166,183,152,7,0,542,870,483,559,0,0,0,0,495,866,681,263,295,95,3,0.0000,0,696,548,0,53,100,528,1,1,453,453,453,453,453,466,453,495,0.0000,0.0000,400.0000,20,32
168,50,150,1,11,152,132,169,144,496,496,800,827,534,529,536,180,175,46,1,0.0000,0,0,0,0,0,0,496,543,534,52,52,52,52,52,52,52,52,0.0000,0.0000,400.0000,20,20
170,269,160,1,13,85,159,100,81,165,777,231,230,339,663,558,178,175,82,2,-0.2572,0,0,0,0,0,0,165,234,339,1,1,1,1,1,1,1,1,0.0000,25.5369,399.7458,20,41
172,159,151,1,11,3,71,3,3,990,874,990,990,966,874,920,143,143,75,1,0.2211,0,0,0,0,0,0,990,966,545,1,1,1,1,1,1,1,1,0.0000,38.2397,611.0269,44,44
173,206,154,1,12,9,152,37,3,631,716,915,936,522,591,681,152,144,54,1,0.0971,0,0,0,0,0,0,631,645,522,1,1,1,1,1,1,1,1,0.0000,12.9367,400.2556,31,36
174,0,0,7,0,296,736,309,284,0,0,0,0,206,724,466,220,215,98,4,0.0000,0,0,0,0,0,0,265,1,1,196,207,196,196,196,206,196,206,0.0000,0.0000,0.0000,20,29
175,590,177,4,0,228,732,270,214,0,0,0,0,161,848,505,227,206,104,4,0.0000,0,0,0,0,0,0,252,453,90,161,128,154,128,128,128,128,128,0.0000,0.0000,400.0000,20,24
177,651,164,9,0,147,935,157,141,0,0,0,0,59,913,492,150,150,88,1,0.0000,0,0,177,0,0,100,140,1,1,49,59,49,49,49,49,49,49,0.0000,0.0000,400.0000,20,42
182,157,151,7,0,937,932,990,917,0,0,0,0,910,922,916,436,417,90,8,0.0000,0,920,924,0,100,100,919,1,1,834,834,834,834,834,910,834,881,4.9683,0.0000,400.1111,40,40
184,214,155,1,12,105,132,116,99,570,583,647,739,570,524,577,161,157,43,0,2.6040,0,0,0,0,0,0,570,570,491,5,5,5,5,5,5,5,5,0.0000,38.9936,501.1456,28,30
186,174,152,1,11,1,40,2,1,867,983,857,921,848,983,916,102,99,82,2,-2.1327,0,0,0,0,0,0,867,848,552,1,1,1,1,1,1,1,1,0.0000,-28.6373,400.0000,38,45
187,0,0,1,11,8,213,2,11,20,1001,31,21,285,1001,643,127,133,61,0,0.0000,0,0,0,0,0,0,20,20,285,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,46
188,171,152,1,13,78,58,104,70,795,811,1164,1164,671,696,799,164,156,37,1,2.9364,0,0,0,0,0,0,795,787,671,1,1,1,1,1,1,1,1,0.0000,-0.2307,400.3791,46,48
190,175,152,1,11,114,94,114,114,916,933,926,916,900,933,917,163,163,33,0,-1.1303,0,0,0,0,0,0,916,900,557,14,14,14,14,14,14,14,14,0.0000,16.4993,613.8732,41,42
192,0,0,1,12,125,172,140,113,312,470,468,442,380,445,425,169,163,74,2,0.0000,0,0,0,0,0,0,312,316,380,25,25,25,25,25,25,25,25,0.0000,0.0000,0.0000,20,21
193,240,158,4,0,688,1065,663,694,0,0,0,0,675,1188,932,564,570,160,29,1.8118,630,585,443,27,100,81,765,1,1,560,560,675,638,560,560,560,560,120.0351,0.0000,682.5279,20,59
195,0,0,1,12,2,251,2,2,55,666,24,82,267,540,467,137,135,81,2,0.0000,0,0,0,0,0,0,55,87,267,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,33
198,252,159,1,12,193,337,225,178,425,577,702,607,426,507,502,202,192,96,4,1.6789,0,0,0,0,0,0,425,425,426,93,93,93,93,93,93,93,93,0.0000,20.9115,399.8944,20,28
200,0,0,1,11,3,272,2,3,137,988,240,203,340,988,664,113,121,49,1,4.8228,0,0,0,0,0,0,137,137,340,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,45
201,240,158,2,0,585,1007,606,576,0,0,0,0,556,1167,862,264,258,82,2,0.5002,511,489,337,21,100,70,670,1,1,556,460,460,460,460,460,460,460,-1.3367,0.0000,605.7244,20,60
202,163,151,1,12,15,13,4,19,754,768,1167,1088,610,627,770,151,156,54,1,2.7492,0,0,0,0,0,0,754,771,610,1,1,1,1,1,1,1,1,0.0000,15.5309,500.3201,40,41
204,184,152,1,12,58,127,32,59,741,798,1179,1076,602,664,755,147,152,72,1,4.4954,0,0,0,0,0,0,741,712,602,1,1,1,1,1,1,1,1,0.0000,30.1341,463.2904,40,46
205,281,161,1,12,2,234,2,2,0,521,0,0,1,477,377,121,120,87,2,-3.2143,0,0,0,0,0,0,2,1,232,1,1,1,1,1,1,1,1,0.0000,-22.5069,400.0000,20,26
206,326,165,9,0,345,1021,384,337,0,173,0,0,261,1020,656,248,236,110,8,0.0000,0,258,0,0,57,0,327,1,137,239,239,239,239,239,239,261,245,0.0000,0.0000,400.0000,20,47
208,240,158,1,11,41,34,39,41,610,1008,609,610,598,1008,803,150,150,53,2,2.5803,0,0,0,0,0,0,610,598,442,1,1,1,1,1,1,1,1,0.0000,107.5988,606.3760,23,46
210,231,157,1,11,133,198,115,139,537,990,536,537,536,990,763,171,177,74,1,-0.5188,0,0,0,0,0,0,537,536,457,33,33,33,33,33,33,33,33,0.0000,65.8160,580.8820,20,45
212,320,165,1,12,3,124,3,3,0,564,0,0,1,500,475,120,122,98,3,0.0000,0,0,0,0,0,0,3,386,126,1,1,1,1,1,1,1,1,0.0000,0.0000,400.0000,20,29
214,157,151,8,0,870,842,831,887,0,0,0,0,961,991,976,673,687,158,32,1.3060,1043,963,705,25,100,69,989,1,1,785,785,785,785,785,818,961,800,120.2569,0.0000,700.9461,44,45
216,253,159,1,11,64,326,51,65,124,725,201,112,145,725,519,136,139,86,1,0.1646,0,0,0,0,0,0,124,145,312,1,1,1,1,1,1,1,1,0.0000,9.7081,608.4508,20,29
217,242,158,1,12,122,214,131,116,337,730,490,489,387,605,559,168,163,82,2,1.8701,0,0,0,0,0,0,337,354,387,22,22,22,22,22,22,22,22,0.0000,35.3633,607.4138,20,40
220,214,155,1,12,67,176,94,45,1,691,0,6,1,555,475,144,133,52,1,0.0000,0,0,0,0,0,0,55,48,258,1,1,1,1,1,1,1,1,0.0000,-11.5769,603.9699,20,35
221,259,159,1,11,2,245,2,2,102,933,107,166,131,933,628,132,124,66,1,0.0612,0,0,0,0,0,0,102,131,323,1,1,1,1,1,1,1,1,0.0000,65.3967,637.8788,20,42
225,0,0,8,0,4,805,102,3,0,6,0,0,1,837,432,192,145,134,10,0.0000,0,177,289,0,30,100,4,1,24,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,39
228,303,163,9,0,175,848,233,152,0,0,0,0,105,844,488,256,235,130,11,0.0000,0,267,196,0,100,96,178,1,1,88,88,88,88,88,105,97,97,0.0000,0.0000,400.0000,20,39
229,32,150,7,0,1228,1394,1280,1210,0,0,0,0,1312,1461,1395,699,687,163,20,1.4675,1369,1286,967,27,100,100,1312,1,1,1128,1128,1128,1128,1128,1312,1220,1143,111.8423,0.0000,657.7540,67,80
230,223,156,1,11,121,129,128,119,660,1023,660,660,678,1023,851,165,162,60,1,1.7981,0,0,0,0,0,0,660,678,493,21,21,21,21,21,21,21,21,0.0000,83.7485,603.1325,28,47
231,252,159,1,11,126,304,141,120,140,947,188,128,154,947,633,164,160,15,0,-1.9807,0,0,0,0,0,0,140,154,318,26,26,26,26,26,26,26,26,0.0000,-0.6216,558.0830,20,43
233,295,162,7,0,434,942,412,437,0,0,0,0,349,964,657,247,251,108,4,0.0000,0,371,250,0,100,100,423,1,1,315,315,315,315,315,315,315,349,0.0000,0.0000,400.0000,20,43
235,0,0,1,11,23,232,3,30,0,941,0,0,1,941,601,135,143,54,1,0.0000,0,0,0,0,0,0,19,1,261,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,43
239,251,159,6,0,509,896,482,516,0,0,0,0,478,1057,768,356,366,113,9,1.8110,559,410,416,17,100,85,584,1,1,394,394,478,394,466,394,394,394,72.7222,0.0000,635.9741,20,45
240,792,177,1,11,3,116,2,3,0,856,0,0,1,856,541,117,121,92,1,0.0000,0,0,0,0,0,0,3,226,96,1,1,1,1,1,1,1,1,0.0000,0.0000,400.0000,20,38
241,298,162,6,0,400,792,416,392,0,0,0,0,351,998,683,295,290,130,14,0.0000,0,268,220,0,100,59,475,1,1,277,277,285,277,351,277,277,277,0.0000,0.0000,400.0000,20,45
243,594,177,7,0,117,805,73,134,0,0,0,0,40,830,435,170,197,154,19,0.0000,0,144,254,0,76,100,119,1,1,28,28,28,28,28,40,28,28,0.0000,0.0000,400.0000,20,36
244,295,162,2,0,506,1029,528,494,0,0,0,0,471,1190,831,247,241,72,1,0.0000,0,426,317,0,100,75,580,1,1,471,388,388,388,388,388,388,388,0.0000,0.0000,400.0000,20,63
245,265,160,8,0,418,758,405,418,0,0,0,0,373,837,605,456,461,152,17,-0.2193,478,417,251,30,88,42,449,1,1,319,319,319,319,319,319,373,319,93.3503,0.0000,689.3591,20,39
246,225,157,1,12,246,221,246,246,279,937,280,279,303,937,656,206,206,60,3,1.1664,0,0,0,0,0,0,279,303,374,146,146,146,146,146,146,146,146,0.0000,25.5645,391.4015,20,46
247,215,155,6,0,1005,1314,1054,990,0,0,0,0,1007,1387,1218,484,468,124,12,4.0468,983,830,566,22,94,100,1072,1,1,858,858,858,858,1007,858,858,858,127.9258,0.0000,625.2099,45,72
248,0,0,1,11,3,360,2,6,0,1011,0,0,1,1011,596,131,139,70,0,0.0000,0,0,0,0,0,0,3,1,180,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,46
249,299,163,2,0,194,688,140,211,0,0,0,0,143,820,482,188,204,111,2,0.0000,0,371,333,0,73,50,217,1,1,143,114,114,114,114,114,114,114,0.0000,0.0000,400.0000,20,25
