team_id,g,w,l,pos,pct,gb,streak,magic_number
332,0,0,0,1,0.0000,0.0000,0,57
333,0,0,0,3,0.0000,0.0000,0,77
334,0,0,0,4,0.0000,0.0000,0,77
335,0,0,0,2,0.0000,0.0000,0,77
336,0,0,0,1,0.0000,0.0000,0,77
337,0,0,0,4,0.0000,0.0000,0,77
338,0,0,0,1,0.0000,0.0000,0,77
339,0,0,0,3,0.0000,0.0000,0,77
340,0,0,0,2,0.0000,0.0000,0,77
343,0,0,0,0,0.0000,0.0000,0,0
344,0,0,0,0,0.0000,0.0000,0,0
345,0,0,0,0,0.0000,0.0000,0,0
346,0,0,0,0,0.0000,0.0000,0,0
347,0,0,0,0,0.0000,0.0000,0,0
348,0,0,0,0,0.0000,0.0000,0,0
349,0,0,0,0,0.0000,0.0000,0,0
350,0,0,0,0,0.0000,0.0000,0,0
351,0,0,0,0,0.0000,0.0000,0,0
352,0,0,0,0,0.0000,0.0000,0,0
353,0,0,0,0,0.0000,0.0000,0,0
354,0,0,0,0,0.0000,0.0000,0,0
355,0,0,0,0,0.0000,0.0000,0,0
356,0,0,0,0,0.0000,0.0000,0,0
357,0,0,0,0,0.0000,0.0000,0,0
358,0,0,0,0,0.0000,0.0000,0,0
359,0,0,0,0,0.0000,0.0000,0,0
360,0,0,0,0,0.0000,0.0000,0,0
361,0,0,0,1,0.0000,0.0000,0,57
403,0,0,0,2,0.0000,0.0000,0,57
404,0,0,0,2,0.0000,0.0000,0,57
405,0,0,0,7,0.0000,0.0000,0,57
406,0,0,0,1,0.0000,0.0000,0,57
408,0,0,0,5,0.0000,0.0000,0,57
409,0,0,0,0,0.0000,0.0000,0,0
410,0,0,0,0,0.0000,0.0000,0,0
584,0,0,0,3,0.0000,0.0000,0,73
585,0,0,0,1,0.0000,0.0000,0,73
586,0,0,0,1,0.0000,0.0000,0,73
587,0,0,0,2,0.0000,0.0000,0,73
588,0,0,0,4,0.0000,0.0000,0,73
589,0,0,0,2,0.0000,0.0000,0,73
590,0,0,0,6,0.0000,0.0000,0,73
591,0,0,0,4,0.0000,0.0000,0,73
592,0,0,0,4,0.0000,0.0000,0,73
593,0,0,0,6,0.0000,0.0000,0,73
594,0,0,0,3,0.0000,0.0000,0,73
595,0,0,0,8,0.0000,0.0000,0,73
596,0,0,0,6,0.0000,0.0000,0,73
597,0,0,0,7,0.0000,0.0000,0,73
598,0,0,0,5,0.0000,0.0000,0,73
599,0,0,0,6,0.0000,0.0000,0,73
600,0,0,0,2,0.0000,0.0000,0,73
601,0,0,0,7,0.0000,0.0000,0,73
602,0,0,0,7,0.0000,0.0000,0,73
603,0,0,0,2,0.0000,0.0000,0,73
604,0,0,0,1,0.0000,0.0000,0,73
605,0,0,0,5,0.0000,0.0000,0,73
606,0,0,0,5,0.0000,0.0000,0,73
607,0,0,0,1,0.0000,0.0000,0,73
608,0,0,0,4,0.0000,0.0000,0,73
609,0,0,0,3,0.0000,0.0000,0,73
611,0,0,0,2,0.0000,0.0000,0,73
613,0,0,0,3,0.0000,0.0000,0,73
614,0,0,0,0,0.0000,0.0000,0,0
615,0,0,0,0,0.0000,0.0000,0,0
616,0,0,0,4,0.0000,0.0000,0,73
617,0,0,0,1,0.0000,0.0000,0,73
619,0,0,0,2,0.0000,0.0000,0,73
620,0,0,0,3,0.0000,0.0000,0,73
651,0,0,0,5,0.0000,0.0000,0,57
736,0,0,0,4,0.0000,0.0000,0,57
742,0,0,0,5,0.0000,0.0000,0,73
745,0,0,0,1,0.0000,0.0000,0,57
751,0,0,0,9,0.0000,0.0000,0,73
753,0,0,0,3,0.0000,0.0000,0,73
754,0,0,0,5,0.0000,0.0000,0,73
755,0,0,0,6,0.0000,0.0000,0,73
756,23,15,8,1,0.6522,0.0000,3,116
757,22,6,16,6,0.2727,9.5000,1,1000
758,23,7,16,5,0.3043,8.0000,-2,1000
785,0,0,0,2,0.0000,0.0000,0,57
792,0,0,0,1,0.0000,0.0000,0,73
793,0,0,0,4,0.0000,0.0000,0,73
794,0,0,0,8,0.0000,0.0000,0,73
795,0,0,0,7,0.0000,0.0000,0,73
796,0,0,0,7,0.0000,0.0000,0,57
797,0,0,0,1,0.0000,0.0000,0,57
798,0,0,0,4,0.0000,0.0000,0,57
799,0,0,0,0,0.0000,0.0000,0,0
800,0,0,0,0,0.0000,0.0000,0,0
809,0,0,0,3,0.0000,0.0000,0,57
812,0,0,0,6,0.0000,0.0000,0,73
813,0,0,0,5,0.0000,0.0000,0,73
814,0,0,0,6,0.0000,0.0000,0,57
815,0,0,0,5,0.0000,0.0000,0,57
816,0,0,0,3,0.0000,0.0000,0,57
